dance,activity-step,playbacks
bartender,Part 1-Part 1,2
bartender,Part 2-Part 2,3
bartender,Part 3-Part 3,3
bartender,Part 4-Part 4,3
bartender,Part 5-Part 5,3
bartender,Practice-Follow along,25
bartender,Practice-Practice,13
bartender,Practice w/ Pauses-Follow along,7
bartender,Preview-Fast Preview,11
lastchristmas,Part 1-Part 1,19
lastchristmas,Part 2-Part 2,13
lastchristmas,Part 3-Part 3,26
lastchristmas,Part 4-Part 4,15
lastchristmas,Part 5-Part 5,12
lastchristmas,Part 6-Part 6,12
lastchristmas,Part 7-Part 7,14
lastchristmas,Part 8-Part 8,13
lastchristmas,Practice-Follow along,36
lastchristmas,Practice-Practice,16
lastchristmas,Practice w/ Pauses-Follow along,24
lastchristmas,Practice w/ Pauses-Practice,8
lastchristmas,Preview-Fast Preview,33
madatdisney,Part 1-Part 1,21
madatdisney,Part 10-Part 10,15
madatdisney,Part 2-Part 2,13
madatdisney,Part 3-Part 3,15
madatdisney,Part 4-Part 4,15
madatdisney,Part 5-Part 5,14
madatdisney,Part 6-Part 6,17
madatdisney,Part 7-Part 7,14
madatdisney,Part 8-Part 8,21
madatdisney,Part 9-Part 9,11
madatdisney,Practice-Follow along,28
madatdisney,Practice-Practice,12
madatdisney,Practice w/ Pauses-Follow along,13
madatdisney,Practice w/ Pauses-Practice,7
madatdisney,Preview-Fast Preview,20
pajamaparty,Part 1-Part 1,16
pajamaparty,Part 2-Part 2,17
pajamaparty,Part 3-Part 3,15
pajamaparty,Part 4-Part 4,15
pajamaparty,Part 5-Part 5,13
pajamaparty,Part 6-Part 6,15
pajamaparty,Part 7-Part 7,15
pajamaparty,Part 8-Part 8,12
pajamaparty,Practice-Follow along,19
pajamaparty,Practice-Practice,15
pajamaparty,Practice w/ Pauses-Follow along,29
pajamaparty,Practice w/ Pauses-Practice,26
pajamaparty,Preview-Fast Preview,24