,HipsX,HipsY,HipsZ,HipsZrot,HipsXrot,HipsYrot,AbX,AbY,AbZ,AbZrot,AbXrot,AbYrot,ChestX,ChestY,ChestZ,ChestZrot,ChestXrot,ChestYrot,LeftCollarX,LeftCollarY,LeftCollarZ,LeftCollarZrot,LeftCollarXrot,LeftCollarYrot,LeftShoulderX,LeftShoulderY,LeftShoulderZ,LeftShoulderZrot,LeftShoulderXrot,LeftShoulderYrot,LeftElbowX,LeftElbowY,LeftElbowZ,LeftElbowZrot,LeftElbowXrot,LeftElbowYrot,LeftWristX,LeftWristY,LeftWristZ,LeftWristZrot,LeftWristXrot,LeftWristYrot,NeckX,NeckY,NeckZ,NeckZrot,NeckXrot,NeckYrot,HeadX,HeadY,HeadZ,HeadZrot,HeadXrot,HeadYrot,RightCollarX,RightCollarY,RightCollarZ,RightCollarZrot,RightCollarXrot,RightCollarYrot,RightShoulderX,RightShoulderY,RightShoulderZ,RightShoulderZrot,RightShoulderXrot,RightShoulderYrot,RightElbowX,RightElbowY,RightElbowZ,RightElbowZrot,RightElbowXrot,RightElbowYrot,RightWristX,RightWristY,RightWristZ,RightWristZrot,RightWristXrot,RightWristYrot,LeftHipX,LeftHipY,LeftHipZ,LeftHipZrot,LeftHipXrot,LeftHipYrot,LeftKneeX,LeftKneeY,LeftKneeZ,LeftKneeZrot,LeftKneeXrot,LeftKneeYrot,LeftAnkleX,LeftAnkleY,LeftAnkleZ,LeftAnkleZrot,LeftAnkleXrot,LeftAnkleYrot,RightHipX,RightHipY,RightHipZ,RightHipZrot,RightHipXrot,RightHipYrot,RightKneeX,RightKneeY,RightKneeZ,RightKneeZrot,RightKneeXrot,RightKneeYrot,RightAnkleX,RightAnkleY,RightAnkleZ,RightAnkleZrot,RightAnkleXrot,RightAnkleYrot
0,26.846386,148.42487,-299.97974,-2.274238,6.976225,4.5249,-1e-06,8.176443,4.6e-05,0.402366,-8.786822,0.497676,6e-06,21.841305,-3.2e-05,3.647623,8.730516,0.189713,2.1e-05,21.841293,-4.5e-05,-8.608943,-0.293375,3.675112,19.000004,3.7e-05,-2.7e-05,-67.66141,52.978474,-1.629041,25.320944,2.6e-05,-3.8e-05,5.336128,-0.709432,-15.281396,24.349737,-1.4e-05,-4.8e-05,7.634809,3.559213,1.417489,2e-05,21.841293,-4.5e-05,3.670775,7.815364,-1.696064,8e-06,10.877808,-3.2e-05,-3.11907,-9.148572,-1.704007,2e-05,21.841293,-4.5e-05,13.593142,-0.244262,-2.01085,-18.999996,-8e-06,-3.3e-05,64.532646,12.186496,-0.004153,-25.32095,-1.6e-05,-5.3e-05,-5.598729,-0.708843,17.17586,-24.349758,-4e-06,1.5e-05,33.258526,55.428722,-22.744276,11.866667,-4e-06,2.4e-05,3.330526,-13.680862,-5.947107,1e-05,-45.759537,1.7e-05,-8.798522,58.455853,8.799938,-0.0,-46.552635,-3.6e-05,-4.491225,0.098371,-1.14128,-11.866669,2.3e-05,3.4e-05,3.039229,-14.751462,4.2383,7e-06,-45.759533,1e-06,1.557311,11.77924,-0.671291,7e-06,-46.55262,7e-05,-1.950692,-5.382322,-4.391375
1,26.459064,148.69547,-297.36423,-1.843711,6.944915,4.876827,5e-06,8.17647,-3.4e-05,0.159332,-8.586971,1.269268,6e-06,21.841297,5e-06,3.18771,8.810275,1.029312,2e-06,21.841305,-2.8e-05,-8.827961,-0.307557,3.734784,19.000008,3e-06,-4.9e-05,-67.802505,51.977074,-0.791408,25.320946,-2.6e-05,-6.5e-05,4.844458,-0.612195,-14.937644,24.349705,3.2e-05,1.7e-05,7.774135,5.076246,1.511649,2e-06,21.841305,-2.8e-05,3.370636,8.177353,-2.11629,1e-05,10.877808,-4e-05,-3.199687,-9.878997,-2.163833,2e-06,21.841305,-2.8e-05,13.059446,-0.245203,-2.035935,-18.999977,2.7e-05,-2.2e-05,63.613617,16.074806,4.22557,-25.320946,-4e-06,6e-06,-5.243566,-0.738801,18.903683,-24.349752,-2.5e-05,-3e-05,29.55608,54.11045,-18.510715,11.866673,2.6e-05,9e-06,2.896493,-18.854342,-6.096719,8e-06,-45.759533,3.4e-05,-11.431812,63.54403,12.164127,1e-06,-46.552624,1.5e-05,-4.536399,-1.441005,-2.21929,-11.866669,3e-06,-3e-06,2.916876,-12.520147,4.411187,5e-06,-45.759525,1.6e-05,1.623121,10.697914,-1.024234,3e-06,-46.552612,4.4e-05,-3.089436,-6.053231,-4.549604
2,26.275776,148.8558,-295.42932,-1.420056,6.985864,5.003466,7e-06,8.176452,-6.3e-05,-0.048911,-8.454331,1.855033,1.4e-05,21.841318,8e-06,2.697347,8.870869,1.66333,1.1e-05,21.84132,2.5e-05,-8.942487,-0.286695,3.429917,19.0,6.3e-05,-7e-06,-67.88708,50.961708,-0.282389,25.320917,-5e-06,-3.8e-05,4.388117,-0.52114,-14.523135,24.349718,3.1e-05,-1.6e-05,8.064105,6.086645,1.501087,1.1e-05,21.84132,2.5e-05,3.608492,8.345163,-2.567524,8e-06,10.877769,-4.8e-05,-3.519467,-10.505593,-2.639075,1.1e-05,21.84132,2.5e-05,12.633462,-0.256193,-2.538325,-18.999985,5e-05,-4.6e-05,62.57739,19.203243,7.357581,-25.320936,1e-06,1.5e-05,-5.425351,-0.900456,20.63339,-24.34971,-6e-06,-4e-05,25.364193,52.371418,-14.143602,11.866679,1.7e-05,-3.8e-05,2.207465,-22.346785,-6.557186,6e-06,-45.759514,1e-06,-13.204367,65.21306,14.068217,1.3e-05,-46.55262,-1.2e-05,-4.322086,-3.526441,-2.723482,-11.866658,3.2e-05,-8.4e-05,2.662028,-10.95129,4.25412,9e-06,-45.759552,-8e-06,1.640542,9.926578,-1.058534,6e-06,-46.552616,-3.2e-05,-3.782919,-6.455806,-4.508277
3,26.174212,148.9895,-293.48285,-0.937269,7.076798,5.025286,1.1e-05,8.176433,6e-06,-0.252235,-8.36005,2.394646,1.6e-05,21.841318,-1.5e-05,2.157082,8.947633,2.256597,1.1e-05,21.841347,-3.1e-05,-9.089152,-0.295265,3.261422,19.000015,1.3e-05,-3e-05,-68.10979,49.79342,0.245343,25.32091,1.7e-05,-1.7e-05,4.040757,-0.467986,-14.073649,24.349712,3.4e-05,1.7e-05,8.388594,6.875198,1.46674,1.1e-05,21.841347,-3.1e-05,3.62391,8.484233,-2.854055,1.1e-05,10.877785,-2.8e-05,-3.669091,-11.135655,-2.950355,1.1e-05,21.841347,-3.1e-05,12.11271,-0.265655,-2.922356,-18.99999,4e-06,-2.8e-05,61.375526,21.945261,10.256731,-25.320938,2e-05,1.6e-05,-5.883047,-1.134135,22.648478,-24.349741,2.4e-05,-1.5e-05,20.915405,50.17452,-9.805644,11.866673,1.7e-05,1.2e-05,1.273825,-25.361511,-7.301029,6e-06,-45.759514,-2.6e-05,-14.179096,64.86758,14.96949,5e-06,-46.55263,-7e-06,-3.972003,-5.859402,-2.903819,-11.866654,9e-06,-7e-06,2.308933,-9.439449,3.994508,5e-06,-45.759544,-2e-06,1.637361,9.180026,-0.946557,8e-06,-46.552612,-2e-06,-4.336014,-6.782622,-4.461892
4,26.139982,149.12297,-290.83652,-0.266328,7.268574,4.935598,8e-06,8.176455,0.0,-0.480507,-8.305352,2.978758,1.6e-05,21.841316,-1.4e-05,1.369018,9.092046,2.918334,1.5e-05,21.841278,-1.9e-05,-9.270197,-0.27748,3.206316,19.000015,1.5e-05,-2.8e-05,-68.55267,48.28361,0.891074,25.320934,-2.7e-05,-6.1e-05,3.585548,-0.385783,-13.331319,24.349735,1e-06,-2e-05,8.894137,7.56864,1.320658,1.5e-05,21.841278,-1.9e-05,3.395011,8.523527,-3.030095,2.1e-05,10.877796,-7.6e-05,-3.694844,-11.881945,-3.166389,1.5e-05,21.841278,-1.9e-05,11.371167,-0.277905,-3.279531,-18.999979,2.7e-05,-5.9e-05,59.804974,24.518492,13.70805,-25.320936,-4e-06,-1.3e-05,-6.651495,-1.49932,25.534517,-24.349766,-1e-05,-2.2e-05,15.573598,46.985523,-5.01743,11.86668,4e-06,-2.2e-05,-0.192348,-28.514795,-8.585808,6e-06,-45.759476,1.3e-05,-13.547299,61.346954,14.191219,4e-06,-46.552647,-2.4e-05,-3.56332,-8.540707,-2.563567,-11.866661,1e-06,-7e-06,1.790028,-7.501742,3.754934,8e-06,-45.759525,2.6e-05,1.596848,8.254705,-0.645197,7e-06,-46.55262,2.1e-05,-4.954346,-7.134659,-4.655094
5,26.168049,149.17435,-288.80026,0.1968,7.463213,4.810489,1e-05,8.176458,-1.5e-05,-0.623496,-8.320422,3.298795,4e-06,21.841309,-1.3e-05,0.7399,9.246718,3.291137,1.8e-05,21.841301,-8.5e-05,-9.282073,-0.258304,2.948324,19.000017,2.5e-05,-2.7e-05,-69.006035,47.459595,1.359459,25.320942,-4e-06,-5.3e-05,3.441951,-0.352425,-12.826348,24.34972,-1.5e-05,-2.9e-05,9.089302,7.884829,1.236851,1.8e-05,21.841301,-8.5e-05,3.540279,8.343873,-3.240171,1e-05,10.877789,-5.5e-05,-3.990145,-12.335749,-3.418399,1.8e-05,21.841301,-8.5e-05,10.920873,-0.309509,-3.797719,-18.999979,-2e-06,-4.7e-05,58.804123,25.611784,16.022142,-25.320946,-2e-05,-2.6e-05,-7.159435,-1.753381,27.631634,-24.34974,-8e-06,-6e-06,12.217723,44.686615,-2.286942,11.866676,3.4e-05,-1.1e-05,-1.301676,-30.185534,-9.605736,8e-06,-45.75953,4.1e-05,-11.807359,56.601383,12.399558,7e-06,-46.552643,-1.4e-05,-3.465196,-9.870923,-1.875013,-11.866658,1.6e-05,-2.5e-05,1.45449,-6.132719,3.793295,6e-06,-45.759537,2.4e-05,1.529866,7.685142,-0.320518,1.7e-05,-46.55262,1.6e-05,-5.43094,-7.383515,-5.15184
6,26.2241,149.16354,-286.71143,0.569964,7.696854,4.650518,8e-06,8.176455,1e-05,-0.74148,-8.386944,3.515917,5e-06,21.841295,3.4e-05,0.202176,9.451724,3.560023,1.6e-05,21.841301,3.7e-05,-9.29752,-0.224786,2.867149,18.999983,5.2e-05,-2.2e-05,-69.52826,46.891647,1.746828,25.320951,-1.5e-05,-4.5e-05,3.407953,-0.344816,-12.373508,24.349705,9e-06,-3.6e-05,9.059382,8.202046,1.170255,1.7e-05,21.841301,3.7e-05,3.417085,8.091182,-3.295505,1.2e-05,10.877785,-4.6e-05,-4.148533,-12.769121,-3.520357,1.7e-05,21.841301,3.7e-05,10.506335,-0.325253,-4.097416,-18.999979,8e-06,-5.2e-05,57.98198,26.180405,18.017435,-25.320978,2.1e-05,2e-05,-7.487392,-1.954444,29.516508,-24.349766,0.0,8e-06,9.332436,42.632317,-0.157177,11.86668,2e-05,-2.9e-05,-2.267369,-31.260166,-10.497585,-2e-06,-45.759495,5e-06,-9.463041,50.29278,10.013854,3e-06,-46.5526,-2.1e-05,-3.590986,-10.609353,-0.886887,-11.86666,1.4e-05,8e-06,1.237702,-4.864369,4.057442,9e-06,-45.75953,-4e-06,1.425709,7.297464,0.065158,7e-06,-46.552628,1.5e-05,-5.983104,-7.676285,-5.974632
7,26.322983,149.02017,-283.82547,0.858356,8.048625,4.383392,1.2e-05,8.176482,-3e-06,-0.858216,-8.550366,3.670898,6e-06,21.841324,3.1e-05,-0.321778,9.795056,3.767115,9e-06,21.841324,-1.7e-05,-9.271616,-0.251499,2.832879,19.000004,2.7e-05,-2.1e-05,-70.40836,46.53465,2.274025,25.320911,4e-06,5e-06,3.730965,-0.394563,-12.074241,24.349737,-2.1e-05,-6.3e-05,8.388732,8.761227,1.226976,9e-06,21.841324,-1.7e-05,3.09437,7.647679,-3.244617,8e-06,10.877804,-6.5e-05,-4.307417,-13.356395,-3.541868,9e-06,21.841324,-1.7e-05,10.085323,-0.333934,-4.319983,-18.999977,8e-06,-2e-06,57.108482,26.52346,20.208479,-25.320934,-1e-06,-2.2e-05,-7.697824,-2.139392,31.607164,-24.349773,1e-05,1.5e-05,6.113225,40.325962,1.984958,11.86668,4.8e-05,-4.2e-05,-3.143594,-31.848318,-11.255032,7e-06,-45.759537,2.1e-05,-6.100527,40.0197,6.328823,5e-06,-46.552635,-1e-05,-4.014036,-11.01361,0.839472,-11.866657,1.8e-05,-2.4e-05,1.209359,-3.334927,4.704609,5e-06,-45.75954,-1.4e-05,1.229412,7.135197,0.638595,-1e-05,-46.552616,3.8e-05,-6.872326,-8.222271,-7.454181
8,26.41062,148.80042,-281.56274,0.895757,8.309174,4.138266,1.3e-05,8.176456,-8e-06,-0.91154,-8.719179,3.706325,1e-05,21.841318,-4.1e-05,-0.570824,10.087291,3.823741,2.2e-05,21.841274,-8e-06,-9.192887,-0.24769,2.716066,19.0,4.3e-05,2.7e-05,-71.08636,46.430107,2.593592,25.320913,-1.2e-05,1e-05,3.982914,-0.419441,-11.893325,24.349697,-1.2e-05,-2.6e-05,7.51817,9.4303,1.224207,2.2e-05,21.841274,-8e-06,2.930905,7.30405,-3.193001,1.2e-05,10.877789,3e-05,-4.519529,-13.845624,-3.553057,2.2e-05,21.841274,-8e-06,9.923085,-0.349525,-4.473315,-18.999987,2.3e-05,-4.1e-05,56.55527,26.740807,21.482307,-25.320942,1.8e-05,8e-06,-7.690757,-2.208864,32.74196,-24.349737,6e-06,-7e-06,4.022452,38.968575,3.25992,11.866679,3.5e-05,-1.8e-05,-3.433005,-31.766493,-11.483709,6e-06,-45.759502,4.3e-05,-3.798337,31.54738,3.385682,7e-06,-46.55261,-2.7e-05,-4.373894,-11.165921,2.46205,-11.866657,1.5e-05,1.7e-05,1.396833,-2.256746,5.315063,2e-06,-45.75952,0.0,1.042643,7.268837,1.094909,-5e-06,-46.552616,-5e-05,-7.61535,-8.799029,-8.693637
9,26.515602,148.48456,-279.19284,0.795931,8.527492,3.855434,8e-06,8.176459,2.8e-05,-0.946863,-8.921173,3.69062,1.2e-05,21.841297,-7e-06,-0.686637,10.400247,3.825889,1e-05,21.841293,-7e-06,-9.108652,-0.215745,2.638282,19.000013,1.1e-05,-1.7e-05,-71.68802,46.401844,2.773795,25.32093,1e-05,-4e-06,4.288169,-0.483465,-11.793298,24.349714,-4e-06,-6.5e-05,6.305067,10.379757,1.189734,1.1e-05,21.841293,-7e-06,2.662925,7.036473,-3.067194,1.2e-05,10.877785,-2.3e-05,-4.652421,-14.393524,-3.488507,1e-05,21.841293,-7e-06,9.858338,-0.378828,-4.481291,-18.999977,-4e-06,8e-06,56.079937,27.075401,22.359125,-25.320929,3.6e-05,-1.3e-05,-7.612651,-2.232628,33.48915,-24.349716,-1.1e-05,-5e-06,2.180828,37.95628,4.337282,11.866675,2.4e-05,2.5e-05,-3.43727,-31.367413,-11.552075,1.2e-05,-45.759533,7e-06,-1.890011,23.191593,0.539685,7e-06,-46.552597,2.6e-05,-4.598655,-11.325414,4.343239,-11.866661,1.9e-05,2.3e-05,1.730216,-1.156503,5.916155,-2e-06,-45.759552,-6.3e-05,0.822374,7.567747,1.592164,6e-06,-46.55262,1.1e-05,-8.339923,-9.536246,-9.919724
10,26.704044,147.93898,-275.8331,0.52476,8.689567,3.432009,2e-06,8.176423,-1.2e-05,-0.998172,-9.20593,3.633534,0.0,21.84128,4.1e-05,-0.708715,10.806671,3.780323,1.3e-05,21.841301,1.7e-05,-8.984833,-0.182139,2.539697,18.999985,6.1e-05,3.2e-05,-72.29547,46.554935,2.815492,25.320915,-1.5e-05,-4.6e-05,4.832634,-0.547527,-11.773098,24.349703,2.2e-05,1.2e-05,4.188817,11.848088,1.149044,1.2e-05,21.841301,1.7e-05,2.240952,6.892498,-2.868391,6e-06,10.877796,0.0,-4.666216,-15.232336,-3.352892,1.2e-05,21.841301,1.7e-05,9.919769,-0.383567,-4.360334,-18.99998,1.1e-05,4.9e-05,55.676884,27.647388,22.787184,-25.320927,-1.1e-05,1e-06,-7.287781,-2.130515,33.81698,-24.349731,-7e-06,7e-06,-0.053841,37.217464,5.589121,11.866673,-2.3e-05,-4.6e-05,-3.151183,-30.586235,-11.64573,9e-06,-45.75949,1.2e-05,-0.043919,13.748626,-2.663211,-2e-06,-46.552624,-2.1e-05,-4.385434,-11.442052,7.047881,-11.866666,-4e-06,-1e-05,2.295185,0.461535,6.465219,1e-06,-45.75954,-3e-05,0.460106,8.158334,2.416051,1e-06,-46.552624,2.1e-05,-9.108061,-10.746924,-11.3876
11,26.899847,147.47229,-273.14462,0.289,8.680108,3.098621,1e-05,8.176458,5e-06,-1.06626,-9.416023,3.584459,8e-06,21.841293,-6e-06,-0.685233,11.087531,3.736959,2e-05,21.841293,-2.9e-05,-8.937119,-0.18003,2.52183,19.000006,3.6e-05,-3.8e-05,-72.468254,46.83239,2.645794,25.32088,4.1e-05,2.6e-05,5.315615,-0.594873,-11.810797,24.34972,9e-06,3.4e-05,2.395197,12.939822,1.17818,2e-05,21.841293,-2.9e-05,1.849993,6.982272,-2.7176,1.1e-05,10.877789,8e-06,-4.463581,-15.935268,-3.227252,2e-05,21.841293,-2.9e-05,10.037427,-0.392347,-4.172385,-18.999996,-2e-06,-3.1e-05,55.72598,28.10324,22.360434,-25.320942,1.9e-05,-6e-06,-6.932656,-2.007448,33.68435,-24.349722,-2.6e-05,-8e-06,-1.509427,37.12723,6.380425,11.866676,2.9e-05,-1.5e-05,-2.862918,-29.989744,-11.720932,1e-06,-45.759518,1.3e-05,0.853752,8.950059,-4.598313,6e-06,-46.5526,1.8e-05,-3.729669,-11.14524,8.964778,-11.866657,2.5e-05,-3.5e-05,2.720787,1.8132,6.513248,4e-06,-45.759537,-1.2e-05,0.116263,8.77804,3.260144,2e-06,-46.552624,2.1e-05,-9.421649,-11.765496,-12.297811
12,27.154713,147.00555,-270.31094,0.091652,8.560247,2.783561,5e-06,8.17645,7e-06,-1.197803,-9.628986,3.5296,9e-06,21.841301,-5e-06,-0.676018,11.349369,3.69585,-1e-06,21.84129,8e-06,-8.975094,-0.20151,2.547474,18.99999,6.1e-05,-1.1e-05,-72.260994,47.22345,2.242131,25.32096,-6e-06,-1.7e-05,5.755342,-0.637333,-11.809124,24.349709,-1.6e-05,-6.1e-05,0.690632,13.838297,1.240763,-1e-06,21.84129,8e-06,1.480375,7.217681,-2.606644,1.1e-05,10.877811,-3.1e-05,-4.136792,-16.664581,-3.117088,-1e-06,21.84129,8e-06,10.210699,-0.384819,-3.951359,-18.999985,3.4e-05,-3.9e-05,56.1943,28.455631,21.191582,-25.320938,-1e-05,1e-05,-6.433607,-1.811995,33.228462,-24.349771,-1.9e-05,-2e-05,-2.89772,37.36749,7.105861,11.866673,2.3e-05,4.3e-05,-2.64104,-29.517277,-11.631741,1.4e-05,-45.759506,-1.1e-05,1.3455,6.603621,-6.447183,2e-06,-46.55264,8e-06,-2.755263,-10.267218,10.616271,-11.866663,1e-05,1.2e-05,3.072428,3.199618,6.155565,1.3e-05,-45.759525,4e-06,-0.293594,9.677335,4.295241,-6e-06,-46.552612,1e-05,-9.415833,-12.784123,-12.943439
